2108,0,180,5248,5604,5080
3996,0,192
2040,0,196
548,0,232
400,0,456
496,0,236
12092,0,6916,6512
1488,0,9820
9856,0,6764,6780
6844,0,6940
12096,0,7164,10500
7104,0,5212,6348
5272,0,5668
5644,0,5356,5368,5380
5144,0,5400,5416,5432
5452,0,2288
1120,0,10652
10688,0,6180
6168,0,6328
1204,0,11840
11876,0,6436
6308,0,3744
3820,0,7960
7340,0,7420
7456,0,7732,8608,9688
11976,0,7804,8248,8304
8984,1,9020,9204
8604,0,7344
8768,0,9456
9684,0,7344
9504,0,8328
4772,0,9948
1428,0,10216
10252,0,4776
4392,0,3360,10444
3392,0,7420
8020,0,2312
2324,0,260
272,0,212
4232,0,1836
1900,0,4236
4148,0,1812
1824,0,5148
6060,0,10328
10464,0,10168
1040,0,10288
10324,0,10468
5692,0,10552
5696,0,10560
10380,0,6064
6032,0,1828
