3932,0,188,7592,7960,7424
6316,0,200
3828,0,204
1744,0,352,368,1448
14428,0,9280,8876
3244,0,12188
12224,0,9128,9144
9208,0,9304
14432,0,9528,12868
9468,0,7556,8712
7616,0,8024
8000,0,7708,7720,7732
7488,0,7752,7768,7784
7804,0,4116
2868,0,13024
13060,0,8544
8532,0,8692
2952,0,14212
14248,0,8800
8672,0,6060
6136,0,10324
9704,0,9784
9820,0,10096,10976,12056
14348,0,10168,10612,10668,12008
11352,1,11356,11388,11976
10972,0,9708
11136,0,11824
12052,0,9708
7108,0,12316
3176,0,12584
12620,0,7112
6728,0,5668,12812
5700,0,9784
11872,0,10692
10384,0,4140
4152,0,400,416,428,452,464,504,536,548,564,576,596,608,624,636,652,668,684,696,716,728,752,768,784,800,828,840,860,872,888,900,920,932,948,964,980,992,1008,1020,1036,1048,1064,1076,1092,1104,1120,1132,1148,1160,1176,1188,1204,1220,1236,1252,1280,1296,1320,1336,1348
2052,0,1428
2036,0,1432
1772,0,2240
2272,0,1460
2172,0,1488
3904,0,1908
1856,0,1936
1980,0,1500
1820,0,1560
1408,0,220
6556,0,3624
3688,0,6560
6472,0,3596
3612,0,7492
8424,0,12696
12832,0,12536
2788,0,12656
12692,0,12836
8048,0,12920
8052,0,12928
12748,0,8428
8396,0,3616
